id,Date,Temp,Month,Year
0,01/01/81,20.7,1,1981
1,02/01/81,17.9,1,1981
2,03/01/81,18.8,1,1981
3,04/01/81,14.6,1,1981
4,05/01/81,15.8,1,1981
5,06/01/81,15.8,1,1981
6,07/01/81,15.8,1,1981
7,08/01/81,17.4,1,1981
8,09/01/81,21.8,1,1981
9,10/01/81,20.0,1,1981
10,11/01/81,16.2,1,1981
11,12/01/81,13.3,1,1981
12,13/01/81,16.7,1,1981
13,14/01/81,21.5,1,1981
14,15/01/81,25.0,1,1981
15,16/01/81,20.7,1,1981
16,17/01/81,20.6,1,1981
17,18/01/81,24.8,1,1981
18,19/01/81,17.7,1,1981
19,20/01/81,15.5,1,1981
20,21/01/81,18.2,1,1981
21,22/01/81,12.1,1,1981
22,23/01/81,14.4,1,1981
23,24/01/81,16.0,1,1981
24,25/01/81,16.5,1,1981
25,26/01/81,18.7,1,1981
26,27/01/81,19.4,1,1981
27,28/01/81,17.2,1,1981
28,29/01/81,15.5,1,1981
29,30/01/81,15.1,1,1981
30,31/01/81,15.4,1,1981
31,01/02/81,15.3,2,1981
32,02/02/81,18.8,2,1981
33,03/02/81,21.9,2,1981
34,04/02/81,19.9,2,1981
35,05/02/81,16.6,2,1981
36,06/02/81,16.8,2,1981
37,07/02/81,14.6,2,1981
38,08/02/81,17.1,2,1981
39,09/02/81,25.0,2,1981
40,10/02/81,15.0,2,1981
41,11/02/81,13.7,2,1981
42,12/02/81,13.9,2,1981
43,13/02/81,18.3,2,1981
44,14/02/81,22.0,2,1981
45,15/02/81,22.1,2,1981
46,16/02/81,21.2,2,1981
47,17/02/81,18.4,2,1981
48,18/02/81,16.6,2,1981
49,19/02/81,16.1,2,1981
50,20/02/81,15.7,2,1981
51,21/02/81,16.6,2,1981
52,22/02/81,16.5,2,1981
53,23/02/81,14.4,2,1981
54,24/02/81,14.4,2,1981
55,25/02/81,18.5,2,1981
56,26/02/81,16.9,2,1981
57,27/02/81,17.5,2,1981
58,28/02/81,21.2,2,1981
59,01/03/81,17.8,3,1981
60,02/03/81,18.6,3,1981
61,03/03/81,17.0,3,1981
62,04/03/81,16.0,3,1981
63,05/03/81,13.3,3,1981
64,06/03/81,14.3,3,1981
65,07/03/81,11.4,3,1981
66,08/03/81,16.3,3,1981
67,09/03/81,16.1,3,1981
68,10/03/81,11.8,3,1981
69,11/03/81,12.2,3,1981
70,12/03/81,14.7,3,1981
71,13/03/81,11.8,3,1981
72,14/03/81,11.3,3,1981
73,15/03/81,10.6,3,1981
74,16/03/81,11.7,3,1981
75,17/03/81,14.2,3,1981
76,18/03/81,11.2,3,1981
77,19/03/81,16.9,3,1981
78,20/03/81,16.7,3,1981
79,21/03/81,8.1,3,1981
80,22/03/81,8.0,3,1981
81,23/03/81,8.8,3,1981
82,24/03/81,13.4,3,1981
83,25/03/81,10.9,3,1981
84,26/03/81,13.4,3,1981
85,27/03/81,11.0,3,1981
86,28/03/81,15.0,3,1981
87,29/03/81,15.7,3,1981
88,30/03/81,14.5,3,1981
89,31/03/81,15.8,3,1981
90,01/04/81,16.7,4,1981
91,02/04/81,16.8,4,1981
92,03/04/81,17.5,4,1981
93,04/04/81,17.1,4,1981
94,05/04/81,18.1,4,1981
95,06/04/81,16.6,4,1981
96,07/04/81,10.0,4,1981
97,08/04/81,14.9,4,1981
98,09/04/81,15.9,4,1981
99,10/04/81,13.0,4,1981
100,11/04/81,7.6,4,1981
101,12/04/81,11.5,4,1981
102,13/04/81,13.5,4,1981
103,14/04/81,13.0,4,1981
104,15/04/81,13.3,4,1981
105,16/04/81,12.1,4,1981
106,17/04/81,12.4,4,1981
107,18/04/81,13.2,4,1981
108,19/04/81,13.8,4,1981
109,20/04/81,10.6,4,1981
110,21/04/81,9.0,4,1981
111,22/04/81,10.0,4,1981
112,23/04/81,9.8,4,1981
113,24/04/81,11.5,4,1981
114,25/04/81,8.9,4,1981
115,26/04/81,7.4,4,1981
116,27/04/81,9.9,4,1981
117,28/04/81,9.3,4,1981
118,29/04/81,9.9,4,1981
119,30/04/81,7.4,4,1981
120,01/05/81,8.6,5,1981
121,02/05/81,11.9,5,1981
122,03/05/81,14.0,5,1981
123,04/05/81,8.6,5,1981
124,05/05/81,10.0,5,1981
125,06/05/81,13.5,5,1981
126,07/05/81,12.0,5,1981
127,08/05/81,10.5,5,1981
128,09/05/81,10.7,5,1981
129,10/05/81,8.1,5,1981
130,11/05/81,10.1,5,1981
131,12/05/81,10.6,5,1981
132,13/05/81,5.3,5,1981
133,14/05/81,6.6,5,1981
134,15/05/81,8.5,5,1981
135,16/05/81,11.2,5,1981
136,17/05/81,9.8,5,1981
137,18/05/81,5.9,5,1981
138,19/05/81,3.2,5,1981
139,20/05/81,2.1,5,1981
140,21/05/81,3.4,5,1981
141,22/05/81,5.4,5,1981
142,23/05/81,9.6,5,1981
143,24/05/81,11.5,5,1981
144,25/05/81,12.3,5,1981
145,26/05/81,12.6,5,1981
146,27/05/81,11.0,5,1981
